name,address,lat,lng,rating,priceLevel,userRatingCount
Carnitas 100% Michoacán “mi gusto es”,"Ex, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04980 Ciudad de México, CDMX, Mexico",19.302554699999998,-99.1406883,4.1,,68
Tacos Arabes,"Av. División del Nte., Coapa, Prados Coapa 3ra Secc, Tlalpan, 14357 Ciudad de México, CDMX, Mexico",19.2940447,-99.1315906,4.3,,314
Tacos El Pescadito FISH,"Forestal 113, Coapa, Arboledas del Sur, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.291181299999998,-99.14670819999999,4.1,,7
"Tacos de canasta ""Los de División""","Prol. División del Nte. 2, Coapa, Prados Coapa 3ra Secc, Tlalpan, 14380 Ciudad de México, CDMX, Mexico",19.2910059,-99.13077559999999,4.9,,23
El Chel,"Av. División del Nte. 4405, Coapa, Ex de San Juan de Dios, Tlalpan, 14357 Tlalplan, CDMX, Mexico",19.294668,-99.13178500000001,4.5,PRICE_LEVEL_MODERATE,3370
"Tacos y gorditas ""Don chava""","Calzada Acoxpa Mercado Plaza Mexicana, Ejido Viejo de Sta Úrsula Coapa, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.300549999999998,-99.14608,5,,2
Tacos de Canasta,"Nogal 36, Sta. Úrsula Coapa, Coyoacán, 04650 Ciudad de México, CDMX, Mexico",19.313388,-99.143964,4.1,,19
Taqueria Habanna's,"Av de las Torres 117, Coapa, Arboledas del Sur, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.294648499999997,-99.1391592,4.4,PRICE_LEVEL_INEXPENSIVE,2135
Taqueria Habannas,"Club América 47, Coapa, Villa Lázaro Cárdenas, Tlalpan, 14370 Ciudad de México, CDMX, Mexico",19.2983312,-99.1399423,4.3,PRICE_LEVEL_MODERATE,377
Tacos y Tortas,"Av. Sta. Úrsula, Sta. Úrsula Coapa, Coyoacán, 04650 Ciudad de México, CDMX, Mexico",19.3136205,-99.1405135,5,,1
Tacos el paisa,"Cda. Ejido 15, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04910 Ciudad de México, CDMX, Mexico",19.303786900000002,-99.1423289,3.4,,5
TACOS BILL,"Calz. de las Bombas 553, Coapa, Campestre Coyoacán, Coyoacán, 04480 Ciudad de México, CDMX, Mexico",19.311707,-99.1157163,4.3,PRICE_LEVEL_MODERATE,1285
Los Cuñados,"Calz Acoxpa 722, Coapa, Narciso Mendoza, Tlalpan, 14390 Ciudad de México, CDMX, Mexico",19.292666999999998,-99.12472819999999,4.4,,80
EL Lobo Taqueria Miramontes,"Canal de Miramontes 2960, Coapa, Los girasoles, Coyoacán, 04920 Ciudad de México, CDMX, Mexico",19.3073398,-99.12410279999999,4,PRICE_LEVEL_MODERATE,364
SANTO 46 TACOS & GRILL,"Rancho Vista Hermosa 254-Local 4, Coapa, Campestre Coyoacán, Coyoacán, 04938 Ciudad de México, CDMX, Mexico",19.306589499999998,-99.11593020000001,4.9,,10
TACOSAURIO,"Rancho Vista Hermosa 233, Coapa, Campestre Coyoacán, Coyoacán, 04930 Ciudad de México, CDMX, Mexico",19.3064027,-99.1166339,4.4,,27
Tacos El Torito,"Calzada acoxpa y acequia, Coapa, Narciso Mendoza Super Manzana 5 Villa Coapa, Tlalpan, 14358 Ciudad de México, CDMX, Mexico",19.294332999999998,-99.1298254,4,,36
Los Auténticos Tarasquitos,"Av. Cafetales 1684, Coapa, Culhuacan CTM Zona X, Coyoacán, 04970 Ciudad de México, CDMX, Mexico",19.305749,-99.111845,4.5,PRICE_LEVEL_INEXPENSIVE,787
Taquerías Copacabanito (Tenorios),"Calz. de los Tenorios 90, Coapa, Gabriel Ramos Millán, Tlalpan, 14326 Ciudad de México, CDMX, Mexico",19.2999153,-99.12040309999999,4.1,PRICE_LEVEL_MODERATE,2554
Tacos de Canasta El Huacco,"Calz. del Hueso 694, Coapa, Gabriel Ramos Millán, Tlalpan, 14324 Ciudad de México, CDMX, Mexico",19.3012829,-99.1174482,4.3,,26
Tacos de Guisado Cañaverales,"Cañaverales 154, Coapa, Magisterial, Tlalpan, 14360 Ciudad de México, CDMX, Mexico",19.294746699999997,-99.11204649999999,4.3,,54
Los tacos de la xinte,"Cerrada Rancho Xinte 2, Coapa, Acoxpa, Tlalpan, 14300 Ciudad de México, CDMX, Mexico",19.2959589,-99.1273312,5,,2
Tacos habannas,"en Plaza Chedraui, Calz. del Hueso 670, Loc. 30C, Col, Coapa, Los Robles, Coyoacán, 04940 Ciudad de México, CDMX, Mexico",19.3033146,-99.1188229,3.9,,10
Tacos ricos,"Coapa, Equipamiento Plaza Coapa, Tlalpan, 14390 Ciudad de México, CDMX, Mexico",19.2926746,-99.12476740000001,3.5,,15
Tacos Borrachos,"Calz. de las Bombas, Coapa, Alianza Popular Revolucionaria, Coyoacán, 04920 Ciudad de México, CDMX, Mexico",19.3112209,-99.1234954,5,,6
Xotepingo,"Armada de Mexico 1464, Coapa, Cafetales I, Coyoacán, 04918 Ciudad de México, CDMX, Mexico",19.3125523,-99.1102214,4.4,PRICE_LEVEL_MODERATE,3688
LOS COMPAYES COAPA,"Armada de Mexico 1494, Coapa, Cafetales, Coyoacán, 04930 Ciudad de México, CDMX, Mexico",19.311708,-99.110438,4.6,PRICE_LEVEL_MODERATE,343
"Birria ""El Coach""","Calz. de las Bombas 843, Cafetales, Culhuacan CTM IX A, Coyoacán, 04480 Ciudad de México, CDMX, Mexico",19.309271499999998,-99.1064911,4.5,,225
The Originals Taco Shop,"Calz. de las Bombas 768, Coapa, Cafetales I, Coyoacán, 04930 Ciudad de México, CDMX, Mexico",19.3107471,-99.109076,3.9,,126
Mr. Taco,"Calz. del Hueso 1025, Coapa, Tlalpan, 14330 Ciudad de México, CDMX, Mexico",19.2995433,-99.1055114,3.8,PRICE_LEVEL_MODERATE,1512
Kun taco,"Calz. del Hueso, Coapa, El Mirador, Coyoacán, 04970 Ciudad de México, CDMX, Mexico",19.2998542,-99.10959129999999,4.4,,326
Tacos Don Juan,"Calz. de las Bombas 16, Coapa, Canal Nacional, Coyoacán, 04909 Ciudad de México, CDMX, Mexico",19.307209399999998,-99.1011485,4.5,,46
Parrilla pastor suadero,"Calz. del Hueso 1046, Coapa, Villa Quietud, Coyoacán, 04850 Ciudad de México, CDMX, Mexico",19.2998992,-99.1049524,4.1,,94
Tacos Al Pastor,"Calz. de las Bombas, Coapa, Cafetales I, Coyoacán, 04918 Ciudad de México, CDMX, Mexico",19.3111352,-99.11116340000001,4,,10
Carnitas Chela,"Calz. del Hueso 1046, Coapa, Villa Quietud, Coyoacán, 04850 Ciudad de México, CDMX, Mexico",19.2998992,-99.1049524,4.3,PRICE_LEVEL_MODERATE,1364
Tacos Karla,"Cañaverales 193-205, Coapa, Cuemanco, Tlalpan, 14360 Ciudad de México, CDMX, Mexico",19.2941087,-99.11009399999999,5,,1
Taquerias Copacabanito (Villa Quietud),"Calz. del Hueso 1022, Coapa, Villa Quietud, Coyoacán, 04960 Ciudad de México, CDMX, Mexico",19.2999699,-99.10601249999999,4.2,PRICE_LEVEL_MODERATE,615
El Rinconcito,"Hacienda Sta. Cecilia 16 Culhuacan local 110, CTM Zona X, Culhuacan CTM Zona X, Coyoacán, 04930 Ciudad de México, CDMX, Mexico",19.309542999999998,-99.10888299999999,4.4,,37
Quesadillas y tacos coapa y variedad de los garnacheros,"Calz. del Hueso 960, Coapa, El Mirador, Coyoacán, 04950 Ciudad de México, CDMX, Mexico",19.299754999999998,-99.10786449999999,3.7,,3
Taqueria El Buarito Azteca,"Coapa, Culhuacan CTM Zona X, 04939 Mexico City, CDMX, Mexico",19.3092772,-99.1114436,5,,1
Carnitas Estilo Culhuacán,"Rosario Castellanos 10, Coapa, Culhuacan CTM IX B, Coyoacán, 04909 Ciudad de México, CDMX, Mexico",19.313562599999997,-99.1032398,4.4,,39
Taqueria Johnny,"Hacienda Sta. Cecilia 16, Culhuacan local 47, CTM Zona X, Culhuacan CTM Zona X, Coyoacán, 04930 Ciudad de México, CDMX, Mexico",19.309471,-99.108592,,,
"TACOS DE MIXIOTE "" El SONRICS ""","8V2X+26Q https://maps.app.goo.gl, Coapa, Villa Quietud, Coyoacán, 04960 Ciudad de México, CDMX, Mexico",19.300076999999998,-99.1019381,,,
