lat1,lng1,lat2,lng2,distancia_grados
25.429772,-97.459878,25.425336,-97.411886,0.04819657830179166
23.671651,-98.153336,23.66842222,-98.15911667,0.006621266188380172
22.309416,-98.178007,22.246533,-98.180358,0.06292693294607596
21.100736,-89.560279,21.085905,-89.561107,0.01485409522657131
21.349944,-88.389987,21.297222,-88.273111,0.12821703732344256
23.135239,-102.868032,23.136503,-102.851161,0.016918284103295746
31.920106,-116.472038,31.900111,-116.552861,0.08325957815170147
32.40829,-115.093274,32.424831,-115.101517,0.01848111820210043
25.137352,-111.578485,25.202194,-111.558603,0.06782166975237088
27.746681,-113.779728,27.87726667,-113.7977833,0.13182796011256284
23.057332,-109.825055,23.104027,-109.7448,0.09285089148738038
18.686755,-90.976615,18.631661,-91.002025,0.06067138482019715
18.086253,-91.790598,17.94179,-91.734885,0.1548337713097475
25.392216,-100.931483,25.40153889,-100.9382417,0.011515046836299912
25.731174,-103.068505,25.753578,-103.102358,0.04059513302108556
17.603146,-92.056968,17.574031,-92.028307,0.040855062672817216
16.483172,-92.977429,16.488055,-92.967555,0.011015423959154908
28.72555,-105.977996,28.72692,-105.99408,0.016142241356136188
27.121862,-107.14898,26.83302778,-107.0706,0.2992801881899448
28.548474,-107.454642,28.542808,-107.459822,0.007676975706613424
28.349416,-105.533715,28.324639,-105.545417,0.027401396552000874
27.287228,-107.745976,27.301131,-107.543608,0.20284501678127848
24.386424,-104.732072,24.391278,-104.741897,0.01095864685989236
25.681864,-103.430355,25.660694,-103.410861,0.028778202445608105
22.318764,-103.728461,22.300317,-103.558194,0.17126337348656465
22.259494,-104.225563,22.300317,-103.558194,0.6686164068357817
18.331005,-102.490317,18.362625,-102.2998639,0.19306011421215333
19.367146,-101.497643,19.33548056,-101.4794611,0.03651412847109651
25.672612,-99.114171,25.632694,-99.040056,0.08418123276003277
24.926421,-99.686422,24.951763,-99.717451,0.04006264850206676
24.869855,-99.749226,24.88005556,-99.68322222,0.06678735208555901
17.404787,-96.688963,17.405358,-96.700781,0.01183178621342205
21.97949,-98.730917,22.003972,-98.737528,0.025358896762280973
24.658029,-106.705318,24.41386111,-106.6906389,0.2446087375460295
25.586957,-107.917179,25.595225,-107.959014,0.04264419126914329
23.038119,-106.195763,23.01022222,-106.1543194,0.04995800551791303
30.790535,-112.661906,30.80380278,-112.712475,0.052280567586131525
28.062792,-109.774225,27.82269444,-109.8842778,0.26411826348398537
27.400006,-110.025013,27.43194444,-110.0188889,0.03252027906466277
27.640628,-109.911358,27.661825,-109.9038944,0.02247260852594016
29.733603,-111.309111,29.76688611,-111.05955,0.2517706458908032
29.625865,-111.120102,29.61266667,-111.0258056,0.09521558153868416
27.101808,-109.678876,27.06391389,-109.6872472,0.03880773843104073
30.885692,-111.093117,30.88591389,-110.8546278,0.23848930322304568
31.218439,-110.599041,31.23818056,-110.6029556,0.020125935615359858
31.169407,-110.721502,31.14698056,-110.6312611,0.09298583356556635
25.539052,-98.571106,25.611472,-98.417667,0.16967080809909948
22.960621,-98.941813,22.960947,-98.961656,0.019845677741018232
19.713013,-98.302549,19.660013,-98.338138,0.06384024530811426
19.65598,-98.050104,19.655583,-97.996111,0.053994459512070256
19.98199,-96.67954,20.028405,-96.649081,0.05551669033723487
21.275087,-88.412821,21.297222,-88.273111,0.14145261512251503
21.61997,-102.807236,21.772844,-102.7962,0.15327182771794784
23.017565,-102.594454,22.948583,-102.560972,0.07667829319957337
32.646221,-114.972592,32.60823889,-115.0180889,0.05926726406424284
30.671655,-115.135552,30.992055,-114.833805,0.4401220421758074
26.943459,-112.304024,27.187761,-112.245269,0.25126801871507526
24.264694,-110.23761,24.196111,-110.251778,0.07003113673931033
18.256345,-91.583247,18.204531,-91.536189,0.06999389944845677
28.605874,-100.534584,28.599361,-100.529222,0.008436244010217244
