Comunidad (lat),Comunidad (lng),Distancia actual (km),Alternativa (lat),Alternativa (lng),Nueva distancia (km),Diferencia (km)
27.280521,-107.200121,38.31,26.81173889,-107.0723278,54.09,15.78
27.287228,-107.745976,22.58,27.49563,-107.891744,28.31,5.73
27.287228,-107.745976,22.58,27.028916,-107.737139,28.77,6.19
27.287228,-107.745976,22.58,27.028916,-107.737139,28.77,6.19
27.287228,-107.745976,22.58,27.028916,-107.737139,28.77,6.19
27.287228,-107.745976,22.58,27.028916,-107.737139,28.77,6.19
27.287228,-107.745976,22.58,27.56077778,-107.8178056,31.48,8.9
27.287228,-107.745976,22.58,27.56077778,-107.8178056,31.48,8.9
27.59414,-101.99391,54.42,27.044,-101.793944,65.16,10.75
27.59414,-101.99391,54.42,27.982958,-101.425097,76.7,22.28
27.625125,-108.282036,28.25,27.392023,-108.420943,30.21,1.95
27.625125,-108.282036,28.25,27.392023,-108.420943,30.21,1.95
28.122663,-107.463001,18.71,28.28052778,-107.4053056,18.71,0.0
28.122663,-107.463001,18.71,27.98028,-107.597178,21.78,3.07
28.434457,-108.538797,30.64,28.160972,-108.570194,30.64,0.0
28.434457,-108.538797,30.64,28.160972,-108.570194,30.64,0.0
29.733603,-111.309111,28.03,29.76688611,-111.05955,28.03,0.0
29.733603,-111.309111,28.03,29.61266667,-111.0258056,34.29,6.26
