lat1,lng1,lat2,lng2,distancia_grados,distancia_km
28.605874,-100.534584,28.599361,-100.529222,0.008436244010217244,0.9391226832173836
17.694651,-92.016291,17.7186,-92.01218,0.024299278219730536,2.704995651420403
16.031041,-92.878868,15.9945,-92.846191,0.049020720210941005,5.456986573881952
28.800859,-105.852112,28.838217,-105.910631,0.06942689338432828,7.728601771543424
27.106116,-104.961141,27.08239444,-104.9820556,0.03162487789689354,3.5204814074821886
28.33758,-105.456007,28.333931,-105.426611,0.029621614017475824,3.2974780724254087
28.535309,-105.547997,28.49779167,-105.5476667,0.037518783941099455,4.176591028323191
20.452179,-100.53256,20.444769,-100.555436,0.024046194626174116,2.6768223857857025
20.042975,-98.646836,20.058,-98.625555,0.02605055826656153,2.8999481462336294
18.73853,-103.110344,18.7723,-103.1622444,0.06191982251396456,6.892914642254534
