Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),Coordenadas Comunidad,ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
El Gato,"(25.33103, -105.77888)",DU0634,48.80 km,"(25.33103, -105.77888)",DU5626,"(25.33328, -105.73028)",5.42 km,"https://www.google.com/maps/dir/25.33103,-105.77888/25.33328,-105.73028",DU2363,"(25.34073, -105.72376)",6.23 km,"https://www.google.com/maps/dir/25.33103,-105.77888/25.34073,-105.72376",DU0468,"(25.34867, -105.71981)",6.86 km,"https://www.google.com/maps/dir/25.33103,-105.77888/25.34867,-105.71981"
El FortÃ­n,"(27.99419, -101.71100)",CO2920,42.86 km,"(27.99419, -101.711)",CO6924,"(28.10228, -101.62140)",15.63 km,"https://www.google.com/maps/dir/27.99419,-101.711/28.10228,-101.62140",CO0111,"(27.89353, -101.52748)",23.30 km,"https://www.google.com/maps/dir/27.99419,-101.711/27.89353,-101.52748",CO9802,"(27.87514, -101.53833)",23.35 km,"https://www.google.com/maps/dir/27.99419,-101.711/27.87514,-101.53833"
El Encino (Napisoachi),"(26.83303, -107.07060)",CH0718,36.25 km,"(26.83303, -107.0706)",CH2074,"(26.81886, -107.08142)",1.98 km,"https://www.google.com/maps/dir/26.83303,-107.0706/26.81886,-107.08142",CH5617,"(26.81694, -107.05728)",2.33 km,"https://www.google.com/maps/dir/26.83303,-107.0706/26.81694,-107.05728",CH0714,"(26.81174, -107.07233)",2.38 km,"https://www.google.com/maps/dir/26.83303,-107.0706/26.81174,-107.07233"
El Encino (Los Encinos),"(22.30032, -103.55819)",ZA0292,69.23 km,"(22.30032, -103.55819)",ZA0347,"(22.44342, -103.50008)",17.19 km,"https://www.google.com/maps/dir/22.30032,-103.55819/22.44342,-103.50008",JL8886,"(21.98111, -103.58889)",35.70 km,"https://www.google.com/maps/dir/22.30032,-103.55819/21.98111,-103.58889",JL1636,"(21.97547, -103.50061)",36.73 km,"https://www.google.com/maps/dir/22.30032,-103.55819/21.97547,-103.50061"
El Encinalito de los Sandovales,"(26.42989, -107.26740)",CH0372,50.13 km,"(26.42989, -107.2674)",SI5998,"(25.87042, -107.54683)",69.62 km,"https://www.google.com/maps/dir/26.42989,-107.2674/25.87042,-107.54683",SI6077,"(25.79969, -107.87472)",97.43 km,"https://www.google.com/maps/dir/26.42989,-107.2674/25.79969,-107.87472",SI2520,"(26.61647, -108.30358)",117.20 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.61647,-108.30358"
El Encinal,"(24.96764, -106.97108)",SI2620,31.23 km,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)",56.07 km,"https://www.google.com/maps/dir/24.96764,-106.97108/25.46960,-106.92968",SI1818,"(25.47913, -106.93961)",57.05 km,"https://www.google.com/maps/dir/24.96764,-106.97108/25.47913,-106.93961",—,—,—,—
El Encinal,"(25.87042, -107.54683)",SI5998,30.18 km,"(25.87042, -107.54683)",CH2750,"(26.09427, -106.96368)",69.53 km,"https://www.google.com/maps/dir/25.87042,-107.54683/26.09427,-106.96368",CH0717,"(26.08042, -106.95358)",70.06 km,"https://www.google.com/maps/dir/25.87042,-107.54683/26.08042,-106.95358",—,—,—,—
El Encinal,"(27.02892, -107.73714)",CH2269,37.82 km,"(27.02892, -107.73714)",CH0739,"(27.30113, -107.54361)",37.18 km,"https://www.google.com/maps/dir/27.02892,-107.73714/27.30113,-107.54361",CH2074,"(26.81886, -107.08142)",76.65 km,"https://www.google.com/maps/dir/27.02892,-107.73714/26.81886,-107.08142",CH0718,"(26.83303, -107.07060)",77.34 km,"https://www.google.com/maps/dir/27.02892,-107.73714/26.83303,-107.07060"
El Durazno de BeltrÃ¡n,"(25.05276, -106.33673)",DU0174,34.16 km,"(25.05276, -106.33673)",SI0733,"(24.94536, -106.94647)",68.92 km,"https://www.google.com/maps/dir/25.05276,-106.33673/24.94536,-106.94647",SI2620,"(24.96764, -106.97108)",71.25 km,"https://www.google.com/maps/dir/25.05276,-106.33673/24.96764,-106.97108",SI0507,"(25.46960, -106.92968)",80.69 km,"https://www.google.com/maps/dir/25.05276,-106.33673/25.46960,-106.92968"
El Durazno (El Duraznito),"(27.87114, -108.21967)",CH0784,44.62 km,"(27.87114, -108.21967)",CH3310,"(28.20438, -108.21263)",37.10 km,"https://www.google.com/maps/dir/27.87114,-108.21967/28.20438,-108.21263",CH5404,"(28.19311, -108.37132)",39.62 km,"https://www.google.com/maps/dir/27.87114,-108.21967/28.19311,-108.37132",CH2652,"(28.16097, -108.57019)",50.63 km,"https://www.google.com/maps/dir/27.87114,-108.21967/28.16097,-108.57019"
El Durazno,"(26.42989, -107.26740)",CH0372,41.22 km,"(26.42989, -107.2674)",CH0714,"(26.81174, -107.07233)",47.73 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81174,-107.07233",CH2074,"(26.81886, -107.08142)",48.00 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81886,-107.08142",CH5617,"(26.81694, -107.05728)",49.03 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81694,-107.05728"
El Durazno,"(26.42989, -107.26740)",CH0372,45.33 km,"(26.42989, -107.2674)",CH0714,"(26.81174, -107.07233)",47.73 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81174,-107.07233",CH2074,"(26.81886, -107.08142)",48.00 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81886,-107.08142",CH5617,"(26.81694, -107.05728)",49.03 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81694,-107.05728"
El Durazno,"(25.87042, -107.54683)",SI5998,38.06 km,"(25.87042, -107.54683)",SI1818,"(25.47913, -106.93961)",80.41 km,"https://www.google.com/maps/dir/25.87042,-107.54683/25.47913,-106.93961",SI0507,"(25.46960, -106.92968)",81.92 km,"https://www.google.com/maps/dir/25.87042,-107.54683/25.46960,-106.92968",—,—,—,—
El Durazno,"(26.95484, -106.34788)",CH0369,39.52 km,"(26.95484, -106.34788)",CH0911,"(27.05566, -106.26396)",14.60 km,"https://www.google.com/maps/dir/26.95484,-106.34788/27.05566,-106.26396",CH4324,"(27.46821, -106.73537)",71.60 km,"https://www.google.com/maps/dir/26.95484,-106.34788/27.46821,-106.73537",CH5617,"(26.81694, -107.05728)",80.45 km,"https://www.google.com/maps/dir/26.95484,-106.34788/26.81694,-107.05728"
El Duraznito,"(26.42989, -107.26740)",CH0372,33.96 km,"(26.42989, -107.2674)",CH2750,"(26.09427, -106.96368)",50.39 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.09427,-106.96368",CH0717,"(26.08042, -106.95358)",52.29 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.08042,-106.95358",SI5998,"(25.87042, -107.54683)",69.62 km,"https://www.google.com/maps/dir/26.42989,-107.2674/25.87042,-107.54683"
El Duraznito,"(26.61647, -108.30358)",SI2520,45.02 km,"(26.61647, -108.30358)",SI2521,"(26.55525, -108.35581)",8.96 km,"https://www.google.com/maps/dir/26.61647,-108.30358/26.55525,-108.35581",SI0684,"(26.70435, -108.33040)",10.23 km,"https://www.google.com/maps/dir/26.61647,-108.30358/26.70435,-108.33040",SI2200,"(26.71148, -108.32373)",10.81 km,"https://www.google.com/maps/dir/26.61647,-108.30358/26.71148,-108.32373"
El Duraznito,"(26.42989, -107.26740)",CH0372,37.16 km,"(26.42989, -107.2674)",CH0714,"(26.81174, -107.07233)",47.73 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81174,-107.07233",CH2074,"(26.81886, -107.08142)",48.00 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.81886,-107.08142",CH0718,"(26.83303, -107.07060)",49.94 km,"https://www.google.com/maps/dir/26.42989,-107.2674/26.83303,-107.07060"
El Duraznito,"(17.34483, -100.22369)",GR5193,31.60 km,"(17.34483, -100.22369)",GR0756,"(17.31715, -100.39922)",19.78 km,"https://www.google.com/maps/dir/17.34483,-100.22369/17.31715,-100.39922",GR4009,"(17.21962, -100.42936)",26.80 km,"https://www.google.com/maps/dir/17.34483,-100.22369/17.21962,-100.42936",GR5204,"(17.60314, -99.93694)",42.96 km,"https://www.google.com/maps/dir/17.34483,-100.22369/17.60314,-99.93694"
El Doscientos,"(25.94020, -103.15023)",CO0742,57.17 km,"(25.9402, -103.15023)",CO7010,"(25.87645, -103.13462)",7.31 km,"https://www.google.com/maps/dir/25.9402,-103.15023/25.87645,-103.13462",CO0739,"(25.94455, -103.23143)",9.05 km,"https://www.google.com/maps/dir/25.9402,-103.15023/25.94455,-103.23143",CO3021,"(25.84731, -103.20234)",11.86 km,"https://www.google.com/maps/dir/25.9402,-103.15023/25.84731,-103.20234"
El Dormido,"(26.98034, -102.05541)",CO0161,37.96 km,"(26.98034, -102.05541)",CO5818,"(26.98158, -102.06586)",1.17 km,"https://www.google.com/maps/dir/26.98034,-102.05541/26.98158,-102.06586",CO0906,"(26.99056, -102.05166)",1.21 km,"https://www.google.com/maps/dir/26.98034,-102.05541/26.99056,-102.05166",CO8338,"(26.98881, -102.06475)",1.40 km,"https://www.google.com/maps/dir/26.98034,-102.05541/26.98881,-102.06475"
El Dorador (El Dorado),"(25.33103, -105.77888)",DU0634,33.96 km,"(25.33103, -105.77888)",DU5626,"(25.33328, -105.73028)",5.42 km,"https://www.google.com/maps/dir/25.33103,-105.77888/25.33328,-105.73028",DU2363,"(25.34073, -105.72376)",6.23 km,"https://www.google.com/maps/dir/25.33103,-105.77888/25.34073,-105.72376",DU0468,"(25.34867, -105.71981)",6.86 km,"https://www.google.com/maps/dir/25.33103,-105.77888/25.34867,-105.71981"
El Divisadero,"(26.95484, -106.34788)",CH0369,37.88 km,"(26.95484, -106.34788)",CH0911,"(27.05566, -106.26396)",14.60 km,"https://www.google.com/maps/dir/26.95484,-106.34788/27.05566,-106.26396",CH1559,"(26.86168, -105.85368)",55.98 km,"https://www.google.com/maps/dir/26.95484,-106.34788/26.86168,-105.85368",CH6259,"(26.86889, -105.84528)",56.76 km,"https://www.google.com/maps/dir/26.95484,-106.34788/26.86889,-105.84528"
El Destierro,"(25.46960, -106.92968)",SI0507,34.51 km,"(25.4696, -106.92968)",SI1818,"(25.47913, -106.93961)",1.53 km,"https://www.google.com/maps/dir/25.4696,-106.92968/25.47913,-106.93961",SI2620,"(24.96764, -106.97108)",56.07 km,"https://www.google.com/maps/dir/25.4696,-106.92968/24.96764,-106.97108",SI0733,"(24.94536, -106.94647)",58.39 km,"https://www.google.com/maps/dir/25.4696,-106.92968/24.94536,-106.94647"
