lat1,lng1,lat2,lng2,distancia_grados,distancia_km
26.780049,-107.848984,27.028916,-107.737139,0.2728444386715608,30.373042912918145
23.046442,-103.718178,22.888028,-103.483139,0.2834401646150389,31.55255912494613
18.56874,-103.295163,18.6,-103.501389,0.2085817601709233,23.21932154222718
17.142515,-95.521776,17.030166,-95.446333,0.13532902146251066,15.064826669206687
19.151739,-101.050488,19.424,-100.903778,0.30927314177115317,34.42828614196477
18.926436,-101.212454,19.057972,-101.409889,0.23723890600195668,26.409435016137817
25.287431,-107.400628,25.36352222,-107.5518639,0.1692990585026956,18.846371192520074
25.226695,-100.182317,25.34293,-100.183655,0.11624270071277563,12.940137443346183
16.17937,-95.489006,16.098916,-95.375916,0.1387883072020113,15.449914357727897
25.601491,-107.073059,25.47913333,-106.9396111,0.18105176448253887,20.154682422196228
