Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Joya de las Viudas,"(25.75621, -106.42591)",CH3301,"(26.04211, -106.50761)",33.10 km,—,—,—,—,—,—,—,—,—,—,—,—
Laboratorio del Desierto,"(26.68616, -103.74730)",DU1787,"(26.54447, -104.09574)",41.87 km,DU0324,"(26.39369, -104.00739)",43.57 km,"https://www.google.com/maps/dir/26.686164,-103.747304/26.39369444,-104.0073944",DU5033,"(26.52808, -104.13161)",46.26 km,"https://www.google.com/maps/dir/26.686164,-103.747304/26.528083,-104.131611",DU1786,"(26.23463, -103.83921)",51.30 km,"https://www.google.com/maps/dir/26.686164,-103.747304/26.234631,-103.839211"
El Castillito,"(25.15638, -106.76111)",SI2620,"(24.96764, -106.97108)",31.43 km,SI0507,"(25.46960, -106.92968)",39.60 km,"https://www.google.com/maps/dir/25.15638,-106.761113/25.4696,-106.9296806",SI1818,"(25.47913, -106.93961)",41.06 km,"https://www.google.com/maps/dir/25.15638,-106.761113/25.47913333,-106.9396111",—,—,—,—
San JosÃ©,"(25.35667, -106.59654)",SI0507,"(25.46960, -106.92968)",39.16 km,SI1818,"(25.47913, -106.93961)",40.55 km,"https://www.google.com/maps/dir/25.356672,-106.596536/25.47913333,-106.9396111",DU0174,"(25.05276, -106.33673)",44.51 km,"https://www.google.com/maps/dir/25.356672,-106.596536/25.05276111,-106.3367333",—,—,—,—
El Guacimal,"(25.19222, -106.57710)",DU0174,"(25.05276, -106.33673)",30.93 km,—,—,—,—,—,—,—,—,—,—,—,—
Arroyo de la Galancita,"(25.16792, -106.76630)",SI2620,"(24.96764, -106.97108)",31.89 km,SI0507,"(25.46960, -106.92968)",38.19 km,"https://www.google.com/maps/dir/25.167919,-106.766301/25.4696,-106.9296806",SI1818,"(25.47913, -106.93961)",39.65 km,"https://www.google.com/maps/dir/25.167919,-106.766301/25.47913333,-106.9396111",—,—,—,—
La Morita (El Ciruelito),"(25.15386, -106.75779)",SI2620,"(24.96764, -106.97108)",31.52 km,SI0507,"(25.46960, -106.92968)",40.02 km,"https://www.google.com/maps/dir/25.153859,-106.75779/25.4696,-106.9296806",SI1818,"(25.47913, -106.93961)",41.48 km,"https://www.google.com/maps/dir/25.153859,-106.75779/25.47913333,-106.9396111",—,—,—,—
Paso de Nogales (Loma de Magueyes),"(21.54305, -100.33455)",SL8988,"(21.66592, -100.57576)",30.13 km,GT1196,"(21.37447, -100.54842)",30.31 km,"https://www.google.com/maps/dir/21.543052,-100.334552/21.3744722,-100.548417",GT1559,"(21.29987, -100.48099)",31.60 km,"https://www.google.com/maps/dir/21.543052,-100.334552/21.299872,-100.480991",GT0609,"(21.30792, -100.51104)",32.73 km,"https://www.google.com/maps/dir/21.543052,-100.334552/21.30791667,-100.5110417"
Puerto de la Virginita,"(21.61478, -100.29495)",SL8988,"(21.66592, -100.57576)",31.77 km,SL5998,"(21.82567, -100.03883)",36.93 km,"https://www.google.com/maps/dir/21.614778,-100.294951/21.825667,-100.038833",GT1196,"(21.37447, -100.54842)",38.88 km,"https://www.google.com/maps/dir/21.614778,-100.294951/21.3744722,-100.548417",SL0909,"(21.91709, -100.10040)",40.02 km,"https://www.google.com/maps/dir/21.614778,-100.294951/21.917094,-100.100397"
El RincÃ³n,"(21.51922, -100.26018)",GT1559,"(21.29987, -100.48099)",34.65 km,GT1196,"(21.37447, -100.54842)",35.91 km,"https://www.google.com/maps/dir/21.519225,-100.260179/21.3744722,-100.548417",GT1316,"(21.20378, -100.18239)",36.17 km,"https://www.google.com/maps/dir/21.519225,-100.260179/21.203778,-100.182389",GT0502,"(21.29016, -100.49157)",36.25 km,"https://www.google.com/maps/dir/21.519225,-100.260179/21.290164,-100.491575"
La Dalia,"(21.54394, -100.14222)",SL5998,"(21.82567, -100.03883)",33.41 km,SL1080,"(21.76611, -99.91189)",35.62 km,"https://www.google.com/maps/dir/21.543943,-100.142222/21.766111,-99.911889",GT1171,"(21.21550, -100.22275)",37.65 km,"https://www.google.com/maps/dir/21.543943,-100.142222/21.2155,-100.222748",SL7365,"(21.65002, -99.82013)",37.75 km,"https://www.google.com/maps/dir/21.543943,-100.142222/21.650017,-99.820133"
Las Truchas,"(17.95460, -100.80136)",GR0456,"(18.24280, -100.89106)",33.60 km,GR2153,"(18.29553, -100.85231)",38.37 km,"https://www.google.com/maps/dir/17.954604,-100.801359/18.295527,-100.852306",GR6769,"(18.15450, -100.50047)",40.21 km,"https://www.google.com/maps/dir/17.954604,-100.801359/18.154501,-100.500472",GR1219,"(18.21538, -100.55082)",40.26 km,"https://www.google.com/maps/dir/17.954604,-100.801359/18.215383,-100.550822"
La Florida,"(17.87764, -101.02056)",GR6118,"(17.92179, -101.32309)",34.03 km,GR0456,"(18.24280, -100.89106)",43.13 km,"https://www.google.com/maps/dir/17.877638,-101.020562/18.242802,-100.891058",GR6057,"(17.54143, -101.26027)",45.97 km,"https://www.google.com/maps/dir/17.877638,-101.020562/17.541425,-101.260272",GR1506,"(17.55017, -101.27818)",46.38 km,"https://www.google.com/maps/dir/17.877638,-101.020562/17.550172,-101.278183"
El Sauz,"(17.63492, -100.96944)",GR3317,"(17.37841, -101.05556)",30.12 km,GR6057,"(17.54143, -101.26027)",34.01 km,"https://www.google.com/maps/dir/17.634921,-100.969441/17.541425,-101.260272",GR1433,"(17.41421, -101.18143)",34.07 km,"https://www.google.com/maps/dir/17.634921,-100.969441/17.414211,-101.181433",GR6108,"(17.49178, -101.24906)",34.97 km,"https://www.google.com/maps/dir/17.634921,-100.969441/17.491775,-101.249063"
Santa Fe,"(17.63511, -100.92186)",GR3317,"(17.37841, -101.05556)",32.22 km,GR0516,"(17.32510, -101.04249)",37.03 km,"https://www.google.com/maps/dir/17.63511,-100.921859/17.325103,-101.042486",GR1433,"(17.41421, -101.18143)",37.94 km,"https://www.google.com/maps/dir/17.63511,-100.921859/17.414211,-101.181433",GR6057,"(17.54143, -101.26027)",39.09 km,"https://www.google.com/maps/dir/17.63511,-100.921859/17.541425,-101.260272"
La Manteca,"(17.58753, -100.64260)",GR0756,"(17.31715, -100.39922)",40.50 km,GR4010,"(17.22302, -100.63185)",40.59 km,"https://www.google.com/maps/dir/17.587529,-100.642596/17.22302,-100.631849",GR1238,"(17.20775, -100.63081)",42.30 km,"https://www.google.com/maps/dir/17.587529,-100.642596/17.207747,-100.630806",GR5184,"(17.21094, -100.75567)",43.77 km,"https://www.google.com/maps/dir/17.587529,-100.642596/17.210944,-100.755667"
La Minita,"(17.50923, -100.59633)",GR0756,"(17.31715, -100.39922)",30.64 km,GR1505,"(17.22878, -100.63653)",31.54 km,"https://www.google.com/maps/dir/17.509229,-100.59633/17.228778,-100.636528",GR4010,"(17.22302, -100.63185)",32.11 km,"https://www.google.com/maps/dir/17.509229,-100.59633/17.22302,-100.631849",GR1238,"(17.20775, -100.63081)",33.78 km,"https://www.google.com/maps/dir/17.509229,-100.59633/17.207747,-100.630806"
El Mosaico,"(17.68797, -100.87271)",GR3317,"(17.37841, -101.05556)",40.02 km,GR0516,"(17.32510, -101.04249)",44.60 km,"https://www.google.com/maps/dir/17.687966,-100.87271/17.325103,-101.042486",GR1433,"(17.41421, -101.18143)",45.93 km,"https://www.google.com/maps/dir/17.687966,-100.87271/17.414211,-101.181433",GR6057,"(17.54143, -101.26027)",46.12 km,"https://www.google.com/maps/dir/17.687966,-100.87271/17.541425,-101.260272"
RincÃ³n los Ojos de Agua,"(17.68276, -100.82270)",GR3317,"(17.37841, -101.05556)",42.66 km,GR5716,"(17.27178, -100.89222)",46.40 km,"https://www.google.com/maps/dir/17.682763,-100.822696/17.271777,-100.892222",GR0233,"(17.26701, -100.88046)",46.73 km,"https://www.google.com/maps/dir/17.682763,-100.822696/17.267011,-100.880458",GR0516,"(17.32510, -101.04249)",46.73 km,"https://www.google.com/maps/dir/17.682763,-100.822696/17.325103,-101.042486"
RincÃ³n de ElÃ­as,"(18.37528, -101.41136)",MI7606,"(18.66281, -101.64622)",41.33 km,GR2165,"(18.47569, -100.97771)",49.55 km,"https://www.google.com/maps/dir/18.375277,-101.411364/18.475686,-100.977713",GR6118,"(17.92179, -101.32309)",51.43 km,"https://www.google.com/maps/dir/18.375277,-101.411364/17.921786,-101.323086",MI7482,"(18.24819, -101.88580)",54.68 km,"https://www.google.com/maps/dir/18.375277,-101.411364/18.248194,-101.885803"
RincÃ³n del Pino,"(18.29407, -101.35076)",GR6118,"(17.92179, -101.32309)",41.56 km,GR2165,"(18.47569, -100.97771)",46.19 km,"https://www.google.com/maps/dir/18.294072,-101.350763/18.475686,-100.977713",GR0456,"(18.24280, -100.89106)",51.49 km,"https://www.google.com/maps/dir/18.294072,-101.350763/18.242802,-100.891058",GR0464,"(18.34305, -100.88518)",52.11 km,"https://www.google.com/maps/dir/18.294072,-101.350763/18.343047,-100.885183"
Las Tareas,"(18.31192, -101.33033)",GR2165,"(18.47569, -100.97771)",43.28 km,GR6118,"(17.92179, -101.32309)",43.44 km,"https://www.google.com/maps/dir/18.311916,-101.330333/17.921786,-101.323086",GR0456,"(18.24280, -100.89106)",49.50 km,"https://www.google.com/maps/dir/18.311916,-101.330333/18.242802,-100.891058",GR0464,"(18.34305, -100.88518)",49.68 km,"https://www.google.com/maps/dir/18.311916,-101.330333/18.343047,-100.885183"
Rancho Nuevo (Los Palos Altos),"(18.38445, -101.29671)",GR2165,"(18.47569, -100.97771)",36.93 km,GR0464,"(18.34305, -100.88518)",46.04 km,"https://www.google.com/maps/dir/18.384455,-101.296707/18.343047,-100.885183",GR0456,"(18.24280, -100.89106)",47.83 km,"https://www.google.com/maps/dir/18.384455,-101.296707/18.242802,-100.891058",MI7606,"(18.66281, -101.64622)",49.74 km,"https://www.google.com/maps/dir/18.384455,-101.296707/18.662813,-101.646217"
San JosÃ©,"(21.85414, -103.84581)",JL8886,"(21.98111, -103.58889)",31.90 km,JL1636,"(21.97547, -103.50061)",40.73 km,"https://www.google.com/maps/dir/21.854139,-103.845811/21.9754715,-103.5006104",ZA0263,"(21.80789, -103.46603)",42.59 km,"https://www.google.com/maps/dir/21.854139,-103.845811/21.807894,-103.466025",JL8887,"(21.92350, -103.44289)",45.51 km,"https://www.google.com/maps/dir/21.854139,-103.845811/21.9235,-103.442886"
Las Azucenas,"(21.85034, -104.10762)",JL8886,"(21.98111, -103.58889)",59.55 km,NA5834,"(21.42382, -104.44885)",60.80 km,"https://www.google.com/maps/dir/21.850336,-104.107619/21.423822,-104.448845",NA5833,"(21.44087, -104.48832)",62.24 km,"https://www.google.com/maps/dir/21.850336,-104.107619/21.440872,-104.488319",JL1636,"(21.97547, -103.50061)",68.99 km,"https://www.google.com/maps/dir/21.850336,-104.107619/21.9754715,-103.5006104"
La Higuera,"(21.83608, -103.93542)",JL8886,"(21.98111, -103.58889)",41.82 km,JL1636,"(21.97547, -103.50061)",50.83 km,"https://www.google.com/maps/dir/21.836083,-103.93542/21.9754715,-103.5006104",ZA0263,"(21.80789, -103.46603)",52.35 km,"https://www.google.com/maps/dir/21.836083,-103.93542/21.807894,-103.466025",JL8887,"(21.92350, -103.44289)",55.69 km,"https://www.google.com/maps/dir/21.836083,-103.93542/21.9235,-103.442886"
Puerto Blanco (Kwuatupa),"(21.90199, -103.99047)",JL8886,"(21.98111, -103.58889)",45.56 km,JL1636,"(21.97547, -103.50061)",55.14 km,"https://www.google.com/maps/dir/21.901988,-103.990469/21.9754715,-103.5006104",ZA0263,"(21.80789, -103.46603)",59.31 km,"https://www.google.com/maps/dir/21.901988,-103.990469/21.807894,-103.466025",JL8887,"(21.92350, -103.44289)",61.00 km,"https://www.google.com/maps/dir/21.901988,-103.990469/21.9235,-103.442886"
El Nogal,"(21.87873, -103.95133)",JL8886,"(21.98111, -103.58889)",41.93 km,JL1636,"(21.97547, -103.50061)",51.32 km,"https://www.google.com/maps/dir/21.878727,-103.951326/21.9754715,-103.5006104",ZA0263,"(21.80789, -103.46603)",54.60 km,"https://www.google.com/maps/dir/21.878727,-103.951326/21.807894,-103.466025",JL8887,"(21.92350, -103.44289)",56.82 km,"https://www.google.com/maps/dir/21.878727,-103.951326/21.9235,-103.442886"
El Mirador,"(21.88443, -104.00666)",JL8886,"(21.98111, -103.58889)",47.74 km,JL1636,"(21.97547, -103.50061)",57.24 km,"https://www.google.com/maps/dir/21.884433,-104.006664/21.9754715,-103.5006104",ZA0263,"(21.80789, -103.46603)",60.78 km,"https://www.google.com/maps/dir/21.884433,-104.006664/21.807894,-103.466025",JL8887,"(21.92350, -103.44289)",62.91 km,"https://www.google.com/maps/dir/21.884433,-104.006664/21.9235,-103.442886"
La Boquilla,"(21.76563, -103.83937)",JL8886,"(21.98111, -103.58889)",36.78 km,ZA0263,"(21.80789, -103.46603)",41.83 km,"https://www.google.com/maps/dir/21.765628,-103.839372/21.807894,-103.466025",ZA1169,"(21.50249, -103.55792)",42.89 km,"https://www.google.com/maps/dir/21.765628,-103.839372/21.502486,-103.557917",JL1636,"(21.97547, -103.50061)",44.36 km,"https://www.google.com/maps/dir/21.765628,-103.839372/21.9754715,-103.5006104"
La PeÃ±a,"(21.78332, -103.83649)",JL8886,"(21.98111, -103.58889)",35.28 km,ZA0263,"(21.80789, -103.46603)",41.33 km,"https://www.google.com/maps/dir/21.783315,-103.836489/21.807894,-103.466025",JL1636,"(21.97547, -103.50061)",43.08 km,"https://www.google.com/maps/dir/21.783315,-103.836489/21.9754715,-103.5006104",ZA1169,"(21.50249, -103.55792)",44.03 km,"https://www.google.com/maps/dir/21.783315,-103.836489/21.502486,-103.557917"
Pisotita,"(21.79733, -103.83254)",JL8886,"(21.98111, -103.58889)",33.97 km,ZA0263,"(21.80789, -103.46603)",40.82 km,"https://www.google.com/maps/dir/21.797325,-103.832538/21.807894,-103.466025",JL1636,"(21.97547, -103.50061)",41.94 km,"https://www.google.com/maps/dir/21.797325,-103.832538/21.9754715,-103.5006104",ZA1169,"(21.50249, -103.55792)",44.85 km,"https://www.google.com/maps/dir/21.797325,-103.832538/21.502486,-103.557917"
La Ciruela Rabona,"(21.79889, -103.82806)",JL8886,"(21.98111, -103.58889)",33.47 km,ZA0263,"(21.80789, -103.46603)",40.31 km,"https://www.google.com/maps/dir/21.798889,-103.828055/21.807894,-103.466025",JL1636,"(21.97547, -103.50061)",41.41 km,"https://www.google.com/maps/dir/21.798889,-103.828055/21.9754715,-103.5006104",ZA1169,"(21.50249, -103.55792)",44.64 km,"https://www.google.com/maps/dir/21.798889,-103.828055/21.502486,-103.557917"
El Potrero,"(21.81317, -103.83607)",JL8886,"(21.98111, -103.58889)",33.27 km,ZA0263,"(21.80789, -103.46603)",41.20 km,"https://www.google.com/maps/dir/21.813166,-103.83607/21.807894,-103.466025",JL1636,"(21.97547, -103.50061)",41.48 km,"https://www.google.com/maps/dir/21.813166,-103.83607/21.9754715,-103.5006104",JL8887,"(21.92350, -103.44289)",45.46 km,"https://www.google.com/maps/dir/21.813166,-103.83607/21.9235,-103.442886"
La OrdeÃ±a,"(22.72611, -104.00250)",ZA0128,"(22.76281, -103.57483)",47.78 km,ZA0447,"(22.76671, -103.57033)",48.32 km,"https://www.google.com/maps/dir/22.72611,-104.0025/22.766706,-103.570328",ZA5108,"(22.77271, -103.56863)",48.58 km,"https://www.google.com/maps/dir/22.72611,-104.0025/22.772706,-103.568633",ZA0382,"(22.78473, -103.55256)",50.51 km,"https://www.google.com/maps/dir/22.72611,-104.0025/22.784725,-103.552564"
Santa RosalÃ­a,"(22.60984, -103.94272)",ZA0128,"(22.76281, -103.57483)",44.35 km,ZA0447,"(22.76671, -103.57033)",44.98 km,"https://www.google.com/maps/dir/22.609839,-103.942719/22.766706,-103.570328",ZA5108,"(22.77271, -103.56863)",45.42 km,"https://www.google.com/maps/dir/22.609839,-103.942719/22.772706,-103.568633",ZA0382,"(22.78473, -103.55256)",47.60 km,"https://www.google.com/maps/dir/22.609839,-103.942719/22.784725,-103.552564"
Colomos de San NicolÃ¡s,"(22.51250, -103.89508)",ZA0347,"(22.44342, -103.50008)",44.64 km,ZA0128,"(22.76281, -103.57483)",45.25 km,"https://www.google.com/maps/dir/22.5125,-103.895081/22.762806,-103.574833",ZA0447,"(22.76671, -103.57033)",45.91 km,"https://www.google.com/maps/dir/22.5125,-103.895081/22.766706,-103.570328",ZA5108,"(22.77271, -103.56863)",46.47 km,"https://www.google.com/maps/dir/22.5125,-103.895081/22.772706,-103.568633"
El Pastor,"(22.59967, -103.92475)",ZA0128,"(22.76281, -103.57483)",42.98 km,ZA0447,"(22.76671, -103.57033)",43.62 km,"https://www.google.com/maps/dir/22.599673,-103.924747/22.766706,-103.570328",ZA5108,"(22.77271, -103.56863)",44.07 km,"https://www.google.com/maps/dir/22.599673,-103.924747/22.772706,-103.568633",ZA0382,"(22.78473, -103.55256)",46.27 km,"https://www.google.com/maps/dir/22.599673,-103.924747/22.784725,-103.552564"
La FloreÃ±a,"(22.00439, -104.02917)",JL8886,"(21.98111, -103.58889)",49.08 km,JL1636,"(21.97547, -103.50061)",58.93 km,"https://www.google.com/maps/dir/22.004389,-104.029169/21.9754715,-103.5006104",ZA0292,"(22.30032, -103.55819)",61.92 km,"https://www.google.com/maps/dir/22.004389,-104.029169/22.300317,-103.558194",JL8887,"(21.92350, -103.44289)",65.88 km,"https://www.google.com/maps/dir/22.004389,-104.029169/21.9235,-103.442886"
Pajaritos,"(22.02101, -104.19816)",JL8886,"(21.98111, -103.58889)",67.97 km,NA5834,"(21.42382, -104.44885)",72.10 km,"https://www.google.com/maps/dir/22.021015,-104.198164/21.423822,-104.448845",NA5833,"(21.44087, -104.48832)",72.21 km,"https://www.google.com/maps/dir/22.021015,-104.198164/21.440872,-104.488319",ZA0292,"(22.30032, -103.55819)",77.73 km,"https://www.google.com/maps/dir/22.021015,-104.198164/22.300317,-103.558194"
El Quemado,"(22.13423, -104.27002)",JL8886,"(21.98111, -103.58889)",77.72 km,NA5833,"(21.44087, -104.48832)",80.92 km,"https://www.google.com/maps/dir/22.13423,-104.270021/21.440872,-104.488319",ZA0292,"(22.30032, -103.55819)",81.37 km,"https://www.google.com/maps/dir/22.13423,-104.270021/22.300317,-103.558194",NA5834,"(21.42382, -104.44885)",81.55 km,"https://www.google.com/maps/dir/22.13423,-104.270021/21.423822,-104.448845"
Las Guitarras (La Guitarra),"(21.97369, -104.08551)",JL8886,"(21.98111, -103.58889)",55.29 km,JL1636,"(21.97547, -103.50061)",65.11 km,"https://www.google.com/maps/dir/21.973691,-104.085514/21.9754715,-103.5006104",ZA0292,"(22.30032, -103.55819)",69.05 km,"https://www.google.com/maps/dir/21.973691,-104.085514/22.300317,-103.558194",ZA0263,"(21.80789, -103.46603)",71.39 km,"https://www.google.com/maps/dir/21.973691,-104.085514/21.807894,-103.466025"
San JosÃ©,"(22.28239, -104.03682)",ZA0292,"(22.30032, -103.55819)",53.32 km,JL8886,"(21.98111, -103.58889)",60.09 km,"https://www.google.com/maps/dir/22.282385,-104.036823/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",62.38 km,"https://www.google.com/maps/dir/22.282385,-104.036823/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",68.78 km,"https://www.google.com/maps/dir/22.282385,-104.036823/21.9754715,-103.5006104"
La Torcaza,"(22.18058, -104.07935)",JL8886,"(21.98111, -103.58889)",58.94 km,ZA0292,"(22.30032, -103.55819)",59.53 km,"https://www.google.com/maps/dir/22.180575,-104.079354/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",68.35 km,"https://www.google.com/maps/dir/22.180575,-104.079354/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",70.81 km,"https://www.google.com/maps/dir/22.180575,-104.079354/22.443417,-103.500083"
Gilberto Mijares,"(22.21988, -104.06902)",ZA0292,"(22.30032, -103.55819)",57.57 km,JL8886,"(21.98111, -103.58889)",59.69 km,"https://www.google.com/maps/dir/22.219882,-104.06902/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",68.05 km,"https://www.google.com/maps/dir/22.219882,-104.06902/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",68.88 km,"https://www.google.com/maps/dir/22.219882,-104.06902/21.9754715,-103.5006104"
La CiÃ©nega,"(22.05656, -104.03636)",JL8886,"(21.98111, -103.58889)",50.52 km,ZA0292,"(22.30032, -103.55819)",59.75 km,"https://www.google.com/maps/dir/22.056565,-104.036362/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",60.32 km,"https://www.google.com/maps/dir/22.056565,-104.036362/21.9754715,-103.5006104",JL8887,"(21.92350, -103.44289)",67.71 km,"https://www.google.com/maps/dir/22.056565,-104.036362/21.9235,-103.442886"
Los Leones,"(22.16083, -104.10793)",JL8886,"(21.98111, -103.58889)",61.15 km,ZA0292,"(22.30032, -103.55819)",63.14 km,"https://www.google.com/maps/dir/22.160833,-104.107934/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",70.69 km,"https://www.google.com/maps/dir/22.160833,-104.107934/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",74.62 km,"https://www.google.com/maps/dir/22.160833,-104.107934/22.443417,-103.500083"
El Ranchito,"(22.23572, -104.00683)",ZA0292,"(22.30032, -103.55819)",50.46 km,JL8886,"(21.98111, -103.58889)",54.48 km,"https://www.google.com/maps/dir/22.235723,-104.006825/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",60.96 km,"https://www.google.com/maps/dir/22.235723,-104.006825/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",63.36 km,"https://www.google.com/maps/dir/22.235723,-104.006825/21.9754715,-103.5006104"
Huku Muyewe,"(22.27770, -104.06779)",ZA0292,"(22.30032, -103.55819)",56.78 km,JL8886,"(21.98111, -103.58889)",62.71 km,"https://www.google.com/maps/dir/22.277704,-104.067789/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",65.83 km,"https://www.google.com/maps/dir/22.277704,-104.067789/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",71.54 km,"https://www.google.com/maps/dir/22.277704,-104.067789/21.9754715,-103.5006104"
Sergio de la Cruz,"(22.26384, -104.01571)",ZA0292,"(22.30032, -103.55819)",51.09 km,JL8886,"(21.98111, -103.58889)",56.99 km,"https://www.google.com/maps/dir/22.263839,-104.01571/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",60.78 km,"https://www.google.com/maps/dir/22.263839,-104.01571/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",65.71 km,"https://www.google.com/maps/dir/22.263839,-104.01571/21.9754715,-103.5006104"
El Barbecho,"(22.10664, -104.35106)",NA0194,"(21.94281, -104.99812)",74.30 km,NA5833,"(21.44087, -104.48832)",75.67 km,"https://www.google.com/maps/dir/22.106637,-104.351056/21.440872,-104.488319",NA5834,"(21.42382, -104.44885)",76.79 km,"https://www.google.com/maps/dir/22.106637,-104.351056/21.423822,-104.448845",NA0195,"(21.50351, -104.70170)",77.66 km,"https://www.google.com/maps/dir/22.106637,-104.351056/21.503514,-104.701703"
Jalisquillo,"(22.05107, -104.00005)",JL8886,"(21.98111, -103.58889)",46.43 km,JL1636,"(21.97547, -103.50061)",56.23 km,"https://www.google.com/maps/dir/22.051071,-104.00005/21.9754715,-103.5006104",ZA0292,"(22.30032, -103.55819)",56.47 km,"https://www.google.com/maps/dir/22.051071,-104.00005/22.300317,-103.558194",JL8887,"(21.92350, -103.44289)",63.63 km,"https://www.google.com/maps/dir/22.051071,-104.00005/21.9235,-103.442886"
Las Palomitas,"(22.16371, -104.20701)",JL8886,"(21.98111, -103.58889)",71.75 km,ZA0292,"(22.30032, -103.55819)",73.81 km,"https://www.google.com/maps/dir/22.163711,-104.207015/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",81.38 km,"https://www.google.com/maps/dir/22.163711,-104.207015/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",84.63 km,"https://www.google.com/maps/dir/22.163711,-104.207015/22.443417,-103.500083"
Tierra Blanca,"(22.18354, -104.22546)",JL8886,"(21.98111, -103.58889)",74.36 km,ZA0292,"(22.30032, -103.55819)",75.41 km,"https://www.google.com/maps/dir/22.183542,-104.225458/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",83.95 km,"https://www.google.com/maps/dir/22.183542,-104.225458/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",85.77 km,"https://www.google.com/maps/dir/22.183542,-104.225458/22.443417,-103.500083"
La Loma Dos,"(22.23604, -104.07915)",ZA0292,"(22.30032, -103.55819)",58.43 km,JL8886,"(21.98111, -103.58889)",61.51 km,"https://www.google.com/maps/dir/22.236042,-104.079152/21.981111,-103.588889",ZA0347,"(22.44342, -103.50008)",68.47 km,"https://www.google.com/maps/dir/22.236042,-104.079152/22.443417,-103.500083",JL1636,"(21.97547, -103.50061)",70.63 km,"https://www.google.com/maps/dir/22.236042,-104.079152/21.9754715,-103.5006104"
Rancho el Pinal,"(21.96476, -104.09399)",JL8886,"(21.98111, -103.58889)",56.26 km,JL1636,"(21.97547, -103.50061)",66.07 km,"https://www.google.com/maps/dir/21.964756,-104.093994/21.9754715,-103.5006104",ZA0292,"(22.30032, -103.55819)",70.38 km,"https://www.google.com/maps/dir/21.964756,-104.093994/22.300317,-103.558194",NA5834,"(21.42382, -104.44885)",72.02 km,"https://www.google.com/maps/dir/21.964756,-104.093994/21.423822,-104.448845"
RincÃ³n de los Guaches,"(21.99660, -104.22056)",JL8886,"(21.98111, -103.58889)",70.34 km,NA0221,"(21.46807, -104.65590)",76.23 km,"https://www.google.com/maps/dir/21.996598,-104.220555/21.46807,-104.6559",NA0195,"(21.50351, -104.70170)",76.69 km,"https://www.google.com/maps/dir/21.996598,-104.220555/21.503514,-104.701703",NA0192,"(21.42181, -104.61091)",77.35 km,"https://www.google.com/maps/dir/21.996598,-104.220555/21.42181389,-104.6109083"
Junta del RÃ­o,"(22.14238, -104.10798)",JL8886,"(21.98111, -103.58889)",60.51 km,ZA0292,"(22.30032, -103.55819)",63.68 km,"https://www.google.com/maps/dir/22.14238,-104.107981/22.300317,-103.558194",JL1636,"(21.97547, -103.50061)",70.12 km,"https://www.google.com/maps/dir/22.14238,-104.107981/21.9754715,-103.5006104",ZA0347,"(22.44342, -103.50008)",75.51 km,"https://www.google.com/maps/dir/22.14238,-104.107981/22.443417,-103.500083"
Las Palomas,"(22.03990, -104.05013)",JL8886,"(21.98111, -103.58889)",51.76 km,JL1636,"(21.97547, -103.50061)",61.59 km,"https://www.google.com/maps/dir/22.039901,-104.050131/21.9754715,-103.5006104",ZA0292,"(22.30032, -103.55819)",61.96 km,"https://www.google.com/maps/dir/22.039901,-104.050131/22.300317,-103.558194",JL8887,"(21.92350, -103.44289)",68.83 km,"https://www.google.com/maps/dir/22.039901,-104.050131/21.9235,-103.442886"
El Ciruelo,"(21.65235, -103.88251)",ZA1169,"(21.50249, -103.55792)",39.80 km,JL8886,"(21.98111, -103.58889)",49.07 km,"https://www.google.com/maps/dir/21.652346,-103.882511/21.981111,-103.588889",ZA0263,"(21.80789, -103.46603)",49.49 km,"https://www.google.com/maps/dir/21.652346,-103.882511/21.807894,-103.466025",ZA0044,"(21.46583, -103.46193)",51.22 km,"https://www.google.com/maps/dir/21.652346,-103.882511/21.465831,-103.461931"
