Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
Paso del Naranjo,"(18.33113, -103.27539)",MI1889,"(18.60000, -103.50139)",39.10 km,MI1950,"(18.53200, -103.58739)",41.31 km,"https://www.google.com/maps/dir/18.331134,-103.275392/18.532,-103.587387",MI3038,"(18.77230, -103.16224)",50.70 km,"https://www.google.com/maps/dir/18.331134,-103.275392/18.7723,-103.1622444",MI0488,"(18.78103, -103.16914)",51.46 km,"https://www.google.com/maps/dir/18.331134,-103.275392/18.78102875,-103.169136"
La Calera Uno,"(18.34877, -103.14944)",MI1889,"(18.60000, -103.50139)",48.14 km,MI5655,"(18.78114, -103.15643)",48.14 km,"https://www.google.com/maps/dir/18.348769,-103.149436/18.781139,-103.156433",MI0488,"(18.78103, -103.16914)",48.17 km,"https://www.google.com/maps/dir/18.348769,-103.149436/18.78102875,-103.169136",MI1950,"(18.53200, -103.58739)",52.85 km,"https://www.google.com/maps/dir/18.348769,-103.149436/18.532,-103.587387"
El Hule,"(18.30519, -103.01209)",MI7528,"(18.07419, -102.75777)",38.25 km,MI9776,"(18.73733, -102.79256)",53.96 km,"https://www.google.com/maps/dir/18.305192,-103.012088/18.737333,-102.792557",MI3038,"(18.77230, -103.16224)",54.62 km,"https://www.google.com/maps/dir/18.305192,-103.012088/18.7723,-103.1622444",MI5655,"(18.78114, -103.15643)",55.37 km,"https://www.google.com/maps/dir/18.305192,-103.012088/18.781139,-103.156433"
Puerto el Gallo,"(18.29127, -102.93852)",MI7528,"(18.07419, -102.75777)",31.45 km,—,—,—,—,—,—,—,—,—,—,—,—
El Mirador,"(18.18995, -103.03895)",MI7528,"(18.07419, -102.75777)",33.85 km,—,—,—,—,—,—,—,—,—,—,—,—
La CiÃ©nega,"(18.35138, -102.84310)",MI7528,"(18.07419, -102.75777)",32.28 km,MI9776,"(18.73733, -102.79256)",43.33 km,"https://www.google.com/maps/dir/18.351376,-102.843104/18.737333,-102.792557",—,—,—,—,—,—,—,—
El Chino,"(18.33369, -102.62209)",MI7528,"(18.07419, -102.75777)",32.60 km,MI5684,"(18.36263, -102.29986)",36.01 km,"https://www.google.com/maps/dir/18.333695,-102.622094/18.362625,-102.2998639",MI4116,"(18.39137, -102.29289)",37.20 km,"https://www.google.com/maps/dir/18.333695,-102.622094/18.391369,-102.292892",MI3023,"(18.35408, -102.28608)",37.47 km,"https://www.google.com/maps/dir/18.333695,-102.622094/18.35408,-102.286079"
El Aguacate,"(19.16435, -101.06701)",MI2458,"(19.42190, -101.21420)",33.02 km,MI0352,"(19.38686, -101.27492)",33.90 km,"https://www.google.com/maps/dir/19.164354,-101.067013/19.38686111,-101.2749167",MI1530,"(19.42400, -100.90378)",34.14 km,"https://www.google.com/maps/dir/19.164354,-101.067013/19.424,-100.903778",MI5675,"(19.39272, -101.28130)",34.86 km,"https://www.google.com/maps/dir/19.164354,-101.067013/19.392723,-101.281303"
La Arboleda,"(18.99683, -100.98560)",MI1577,"(19.09128, -100.66348)",37.37 km,MI4262,"(18.64277, -100.89956)",40.56 km,"https://www.google.com/maps/dir/18.996832,-100.985597/18.642769,-100.899559",MI1393,"(18.63505, -100.89195)",41.60 km,"https://www.google.com/maps/dir/18.996832,-100.985597/18.63505,-100.89195",MI2334,"(18.62467, -100.90117)",42.48 km,"https://www.google.com/maps/dir/18.996832,-100.985597/18.62467222,-100.901175"
Juntas del Anono (Juntas de la Torre),"(19.10019, -101.03753)",MI1530,"(19.42400, -100.90378)",39.00 km,MI2458,"(19.42190, -101.21420)",40.86 km,"https://www.google.com/maps/dir/19.100194,-101.037526/19.421898,-101.214195",MI0352,"(19.38686, -101.27492)",41.43 km,"https://www.google.com/maps/dir/19.100194,-101.037526/19.38686111,-101.2749167",MI1577,"(19.09128, -100.66348)",41.65 km,"https://www.google.com/maps/dir/19.100194,-101.037526/19.091278,-100.663475"
