name,address,lat,lng,rating,userRatingCount,priceLevel,website,genAI
Fonda Argentina Perisur,"Plaza Perisur, Primer piso en el área de restaurantes, Anillo Perif. 4690, Insurgentes Cuicuilco, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.304651399999997,-99.19119459999999,4.2,246,,,https://fondaargentina.com/
The Cheesecake Factory Perisur,"Anillo Perif. Blvd. Adolfo López Mateos 4690, Insurgentes Cuicuilco, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.3045546,-99.19011959999999,4.5,4067,PRICE_LEVEL_EXPENSIVE,,https://thecheesecakefactory.com.mx/?utm_source=TCCF_50505&utm_medium=url_site_gmb&utm_campaign=google_maps
La Cantina Palacio Perisur,"Anillo Perif. 4690, Jardines del Pedregal de San Ángel, Coyoacán, 04500 Ciudad de México, CDMX, Mexico",19.304336199999998,-99.1917838,3.5,64,,,https://gastronomiapalacio.com/pages/la-cantina-palacio?utm_source=GMB&utm_medium=Organic&utm_campaign=Boton_Sitio&utm_content=La_Cantina_Perisur
Charcoal Tacos,"Jorongo 22, Charra, Tlalpan, 14010 Ciudad de México, CDMX, Mexico",19.2985571,-99.1953458,3.7,3,,,http://bit.ly/La-Chula-Tacos-al-Carbon
Taco Express,"Av. San Fernando 556, Manantial Peña Pobre, Tlalpan, 14060 Ciudad de México, CDMX, Mexico",19.295094199999998,-99.1796334,4,4487,PRICE_LEVEL_MODERATE,,
Taqueria Las Palomas San Fernando,"Av. San Fernando 546, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2950064,-99.1793203,4.3,340,PRICE_LEVEL_MODERATE,,
Sazón Del Ruedo - Tacos Al carbón,"Av. San Fernando 557, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2955658,-99.1800633,4.1,467,,,https://www.sazondelruedo.mx/
Taquería Karlita Mixe,"Calle 3 Poniente esquina con 1 Norte MZ. 2, 5, Isidro Fabela, Tlalpan, 14030 Ciudad de México, CDMX, Mexico",19.2999103,-99.17664839999999,4.4,768,PRICE_LEVEL_MODERATE,,
Tacos Fonda Argentina San Fernando,"Av. San Fernando 417, San Fernando, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2952133,-99.1749836,4.1,1353,PRICE_LEVEL_EXPENSIVE,,http://fondaargentina.com/
El charquito mixe,"Av. Insurgentes Sur 3799, La Fama, Tlalpan, 14269 Ciudad de México, CDMX, Mexico",19.2922078,-99.17711849999999,4.5,572,PRICE_LEVEL_INEXPENSIVE,,
La Taquería,"Corregidora 83, Corregidora 81, Barrio de Caramaguey, Tlalpan, 14260 Ciudad de México, CDMX, Mexico",19.291387,-99.1824332,3.5,118,,,
Alquería Parrilla Argentina,"Av. San Fernando, Toriello Guerra, Tlalpan, 14070 Ciudad de México, CDMX, Mexico",19.2948275,-99.1748681,4.4,47,,,http://alqueriaparrilla.mx/
Cocina Nico,"Av. San Fernando 610, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2951642,-99.1814964,4.4,101,,,
Los 3 Chinelos,"Av. San Fernando 582 A, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, Mexico",19.2949789,-99.180622,4.3,4001,PRICE_LEVEL_INEXPENSIVE,,https://es-la.facebook.com/taqueriaslos3chinelos/
La Patrona,"Av. Panamericana, Pedregal de Carrasco, Coyoacán, 04700 Ciudad de México, CDMX, Mexico",19.3040527,-99.1800414,3.5,21,,,
Tacos el gallo mayor,"Camino Sta. Teresa 30, Miguel Hidalgo Villa Olímpica, Tlalpan, 14738 Ciudad de México, CDMX, Mexico",19.295496999999997,-99.18578269999999,4.8,6,,,
